id,rr_name,rr_image,af_name,af_image,content,,
1,Nicholas II,assets/images/characters/nii.jpg,Farmer Jones,https://markmcgivern.files.wordpress.com/2010/11/ishot-3.jpg,Like Czar Nicholas the II of Russia Mr. Jones was overthrown by his constituents because of how the establishment was run.,,
2,Stalin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5N1-H4adHwoDlmsTEB7e5DSXfb7YT8WT0_hWijl2BugolSfLJ,Napoleon,assets/images/charcters/boi.jpg,After the Russian revolution the county was left powerless leaving only influential figures able to lead. Much like Napoleon the pig Stalin ceased the opportunity and took power over the farm creating a socialist government.,,
3,Joseph Gobbler,https://www.google.com/imgres?imgurl=https://upload.wikimedia.org/wikipedia/commons/0/05/Bundesarchiv_Bild_183-1989-0821-502%252C_Joseph_Goebbels.jpg&imgrefurl=https://en.wikipedia.org/wiki/Joseph_Goebbels&h=798&w=550&tbnid=6bjovTKMhTm3sM:&tbnh=160&tbnw=109&usg=__stjQBxqIX5SrBICI65JFaQtIzqY=&vet=10ahUKEwjfyc-25YTUAhVD54MKHZ4OBEYQ_B0IhgEwEA..i&docid=Os3Pg7ZE_m68ZM&itg=1&sa=X&ved=0ahUKEwjfyc-25YTUAhVD54MKHZ4OBEYQ_B0IhgEwEA,Squealer,http://kittychow-animalfarm.weebly.com/uploads/1/7/7/4/17741641/571393936_orig.jpg?196,"Just like the work of Joseph Gobbler the maker of propaganda against the Nazi’s. Squealer, a loyal to napoleon really worked at the forefront to villainize the human race.",,
4,leon Trotsky,https://upload.wikimedia.org/wikipedia/commons/4/41/Lev_Trotsky.jpg,Snowball,https://www.superteachertools.net/jeopardyx/uploads/20140715/Napoleons-dogs-attack-Snowball.jpg,"After the Russian Revolution Leon Trotsky was an influential political leader was accused by Joseph Stalin of betraying the working party of the Soviet Union therefore, putting himself in exile until he was assassinated by a NKVD Agent sent by Stalin. After the battle of cowshed Snowball an already influential leader within the farm was starting to become disliked by napoleon for all of his liberal and new ideals. This made him a threat to Napoleon’s power. Once this came to be apparent with him napoleon used multiple different tactics but in the end forced Snowball to hide from him in his workshop. One day during a Sunday meeting snowball was chased off the farm by dogs and we are only left to assume that he died.",,
5,Vladamir Lenin,https://www.biography.com/.image/t_share/MTIwNjA4NjMzODgyNTEwODYw/vladimir-lenin-9379007-1-402.jpg,Old Major,https://i.ytimg.com/vi/GpKCznK7O_I/hqdefault.jpg,Vladimir Lenin was one of the most if not the most influential figure in Russia sparking change in power. Just as Old major did his final days.,,
6,Proletariet Movement,https://libcom.org/files/images/library/october_24.jpg,Boxer,http://www.simbasible.com/wp-content/uploads/2016/07/d4aa3d4c-1c73-437f-8e51-dbf5f31a8110.jpg,The main working party in Soviet Russia was he Proletariat movement they are the ones that did the real grueling work due to them believing in Marxism. Showing these traits is Boxer. The mule on the farm doing the heavy work.,,
7,Hitler,https://www.biography.com/.image/t_share/MTE4MDAzNDEwNTU1MDc4MTU4/adolf-hitler-9340144-1-402.jpg,Fredrick,http://4.bp.blogspot.com/-8EjsqaDLpPw/U1aSYL3KnrI/AAAAAAAABg8/WGmINH3ktVU/s1600/Animal%20Farm_3A.JPG,When Fredrick buys the timber from Napoleon it is a symbolism of the non-aggression pact signed between the U.S.S.R and Hitler. After Mr. Fredrick attacked the Animal farm he broke the mutual relationship that the two farms shared. Same as in WWII when Hitler attacked the U.S.S.R he started the eastern from breaking the relationship that the two countries once had.,,
8,Bourgeoisie,http://libcom.org/files/images/library/faud_kng[1].jpg,Molly,https://s-media-cache-ak0.pinimg.com/564x/ee/33/1f/ee331fb439b7fa0802781d97556eebac.jpg,"Bourgeoisie are representative of the Russian elite who fled, and went to capitalist countries to keep their riches and good lives. A good representation of the character Mollie as well, she left for the treatment she once had under Mr. Jones’s rule.",,
9,US and Britain,http://www.historyplace.com/unitedstates/pacificwar/2176.jpg,Pilkington,https://www.yorknotes.com/images/onlineguides/GCSE/Animal-Farm/Humans-and-pigs.jpg,After the Russian Revolution during WWII the U.S. really relied on the Soviet Union continuously throughout the war. Then after the war the U.S.S.R. started to cheat the rest of the Allied powers making the relationship between the super powers very rocky. The same thing happened in Animal Farm when Napoleon sold promised wood to a different buyer cheating Mr. Pilkington’s farm then whenever Napoleon tried to patch relations with him all tries were denied.,,
